well,Lat,Lon,x_utm,y_utm,Elev_m,Depth_m,Bottom_MSL,WL_m_MSL,Source
332,-14.324261,-170.681708,534324,8416388,,,,0.05,
333,-14.32425,-170.673845,535172,8416388,,,,0.05,
334,-14.324239,-170.665981,536020,8416388,,,,0.05,
335,-14.324228,-170.658118,536868,8416388,,,,0.05,
336,-14.324216,-170.650254,537716,8416388,,,,0.05,
337,-14.324205,-170.64239,538564,8416388,,,,0.05,
338,-14.324193,-170.634527,539412,8416388,,,,0.05,
339,-14.324181,-170.626663,540260,8416388,,,,0.05,
340,-14.324168,-170.6188,541108,8416388,,,,0.05,
341,-14.324155,-170.610936,541956,8416388,,,,0.05,
342,-14.324142,-170.603073,542804,8416388,,,,0.05,
343,-14.324129,-170.595209,543652,8416388,,,,0.05,
344,-14.324115,-170.587346,544500,8416388,,,,0.05,
345,-14.324102,-170.579483,545348,8416388,,,,0.05,
346,-14.324088,-170.571619,546196,8416388,,,,0.05,
347,-14.324073,-170.563756,547044,8416388,,,,0.05,
348,-14.324059,-170.555892,547892,8416388,,,,0.05,
349,-14.324044,-170.548029,548740,8416388,,,,0.05,
350,-14.331916,-170.854703,515668,8415560,,,,0.05,
351,-14.331911,-170.846839,516516,8415560,,,,0.05,
352,-14.331906,-170.838975,517364,8415560,,,,0.05,
353,-14.3319,-170.831111,518212,8415560,,,,0.05,
354,-14.331895,-170.823247,519060,8415560,,,,0.05,
355,-14.331889,-170.815383,519908,8415560,,,,0.05,
356,-14.331883,-170.807519,520756,8415560,,,,0.05,
357,-14.331778,-170.705289,531780,8415560,,,,0.05,
358,-14.331768,-170.697425,532628,8415560,,,,0.05,
359,-14.331758,-170.689561,533476,8415560,,,,0.05,
360,-14.331747,-170.681698,534324,8415560,,,,0.05,
361,-14.331736,-170.673834,535172,8415560,,,,0.05,
362,-14.331726,-170.66597,536020,8415560,,,,0.05,
363,-14.331714,-170.658106,536868,8415560,,,,0.05,
364,-14.331703,-170.650242,537716,8415560,,,,0.05,
365,-14.331691,-170.642379,538564,8415560,,,,0.05,
366,-14.331679,-170.634515,539412,8415560,,,,0.05,
367,-14.331667,-170.626651,540260,8415560,,,,0.05,
368,-14.331654,-170.618787,541108,8415560,,,,0.05,
369,-14.331642,-170.610924,541956,8415560,,,,0.05,
370,-14.331629,-170.60306,542804,8415560,,,,0.05,
371,-14.331615,-170.595196,543652,8415560,,,,0.05,
372,-14.331602,-170.587332,544500,8415560,,,,0.05,
373,-14.331588,-170.579469,545348,8415560,,,,0.05,
374,-14.331574,-170.571605,546196,8415560,,,,0.05,
375,-14.33156,-170.563741,547044,8415560,,,,0.05,
376,-14.331545,-170.555878,547892,8415560,,,,0.05,
377,-14.33153,-170.548014,548740,8415560,,,,0.05,
378,-14.339403,-170.854698,515668,8414732,,,,0.05,
379,-14.339398,-170.846834,516516,8414732,,,,0.05,
380,-14.339392,-170.83897,517364,8414732,,,,0.05,
381,-14.339387,-170.831105,518212,8414732,,,,0.05,
382,-14.339381,-170.823241,519060,8414732,,,,0.05,
383,-14.339375,-170.815377,519908,8414732,,,,0.05,
384,-14.339369,-170.807513,520756,8414732,,,,0.05,
385,-14.339363,-170.799649,521604,8414732,,,,0.05,
386,-14.339356,-170.791785,522452,8414732,,,,0.05,
387,-14.339274,-170.713143,530932,8414732,,,,0.05,
388,-14.339264,-170.705279,531780,8414732,,,,0.05,
389,-14.339254,-170.697415,532628,8414732,,,,0.05,
390,-14.339244,-170.689551,533476,8414732,,,,0.05,
391,-14.339234,-170.681687,534324,8414732,,,,0.05,
392,-14.339223,-170.673823,535172,8414732,,,,0.05,
393,-14.339212,-170.665959,536020,8414732,,,,0.05,
394,-14.339201,-170.658095,536868,8414732,,,,0.05,
395,-14.339189,-170.650231,537716,8414732,,,,0.05,
396,-14.339178,-170.642367,538564,8414732,,,,0.05,
397,-14.339166,-170.634503,539412,8414732,,,,0.05,
398,-14.339153,-170.626639,540260,8414732,,,,0.05,
399,-14.339141,-170.618775,541108,8414732,,,,0.05,
400,-14.339128,-170.610911,541956,8414732,,,,0.05,
401,-14.339115,-170.603047,542804,8414732,,,,0.05,
402,-14.339102,-170.595183,543652,8414732,,,,0.05,
403,-14.339088,-170.587319,544500,8414732,,,,0.05,
404,-14.339074,-170.579455,545348,8414732,,,,0.05,
405,-14.33906,-170.571591,546196,8414732,,,,0.05,
406,-14.339046,-170.563727,547044,8414732,,,,0.05,
407,-14.339031,-170.555863,547892,8414732,,,,0.05,
408,-14.339017,-170.547999,548740,8414732,,,,0.05,
409,-14.346889,-170.854693,515668,8413904,,,,0.05,
410,-14.346884,-170.846829,516516,8413904,,,,0.05,
411,-14.346879,-170.838964,517364,8413904,,,,0.05,
412,-14.346874,-170.8311,518212,8413904,,,,0.05,
413,-14.346868,-170.823235,519060,8413904,,,,0.05,
414,-14.346862,-170.815371,519908,8413904,,,,0.05,
415,-14.346856,-170.807507,520756,8413904,,,,0.05,
416,-14.346849,-170.799642,521604,8413904,,,,0.05,
417,-14.346842,-170.791778,522452,8413904,,,,0.05,
418,-14.34677,-170.720998,530084,8413904,,,,0.05,
419,-14.34676,-170.713134,530932,8413904,,,,0.05,
420,-14.346751,-170.705269,531780,8413904,,,,0.05,
421,-14.346741,-170.697405,532628,8413904,,,,0.05,
422,-14.34673,-170.689541,533476,8413904,,,,0.05,
423,-14.34672,-170.681676,534324,8413904,,,,0.05,
424,-14.346709,-170.673812,535172,8413904,,,,0.05,
425,-14.346698,-170.665948,536020,8413904,,,,0.05,
426,-14.346687,-170.658083,536868,8413904,,,,0.05,
427,-14.346676,-170.650219,537716,8413904,,,,0.05,
428,-14.346664,-170.642355,538564,8413904,,,,0.05,
429,-14.346652,-170.634491,539412,8413904,,,,0.05,
430,-14.34664,-170.626626,540260,8413904,,,,0.05,
431,-14.346627,-170.618762,541108,8413904,,,,0.05,
432,-14.346614,-170.610898,541956,8413904,,,,0.05,
433,-14.346601,-170.603033,542804,8413904,,,,0.05,
434,-14.346588,-170.595169,543652,8413904,,,,0.05,
435,-14.346575,-170.587305,544500,8413904,,,,0.05,
436,-14.346561,-170.579441,545348,8413904,,,,0.05,
437,-14.346547,-170.571576,546196,8413904,,,,0.05,
438,-14.346532,-170.563712,547044,8413904,,,,0.05,
439,-14.346518,-170.555848,547892,8413904,,,,0.05,
440,-14.346503,-170.547984,548740,8413904,,,,0.05,
441,-14.354376,-170.854688,515668,8413076,,,,0.05,
442,-14.354371,-170.846824,516516,8413076,,,,0.05,
443,-14.354366,-170.838959,517364,8413076,,,,0.05,
444,-14.35436,-170.831094,518212,8413076,,,,0.05,
445,-14.354354,-170.823229,519060,8413076,,,,0.05,
446,-14.354348,-170.815365,519908,8413076,,,,0.05,
447,-14.354342,-170.8075,520756,8413076,,,,0.05,
448,-14.354336,-170.799635,521604,8413076,,,,0.05,
449,-14.354329,-170.791771,522452,8413076,,,,0.05,
450,-14.354265,-170.728854,529236,8413076,,,,0.05,
451,-14.354256,-170.720989,530084,8413076,,,,0.05,
452,-14.354247,-170.713124,530932,8413076,,,,0.05,
453,-14.354237,-170.70526,531780,8413076,,,,0.05,
454,-14.354227,-170.697395,532628,8413076,,,,0.05,
455,-14.354217,-170.68953,533476,8413076,,,,0.05,
456,-14.354206,-170.681666,534324,8413076,,,,0.05,
457,-14.354196,-170.673801,535172,8413076,,,,0.05,
458,-14.354185,-170.665937,536020,8413076,,,,0.05,
459,-14.354174,-170.658072,536868,8413076,,,,0.05,
460,-14.354162,-170.650208,537716,8413076,,,,0.05,
461,-14.35415,-170.642343,538564,8413076,,,,0.05,
462,-14.354138,-170.634478,539412,8413076,,,,0.05,
463,-14.354126,-170.626614,540260,8413076,,,,0.05,
464,-14.354114,-170.618749,541108,8413076,,,,0.05,
465,-14.354101,-170.610885,541956,8413076,,,,0.05,
466,-14.354088,-170.60302,542804,8413076,,,,0.05,
467,-14.354075,-170.595156,543652,8413076,,,,0.05,
468,-14.354061,-170.587291,544500,8413076,,,,0.05,
469,-14.354047,-170.579427,545348,8413076,,,,0.05,
470,-14.354033,-170.571562,546196,8413076,,,,0.05,
471,-14.354019,-170.563698,547044,8413076,,,,0.05,
472,-14.354004,-170.555833,547892,8413076,,,,0.05,
473,-14.353989,-170.547969,548740,8413076,,,,0.05,
474,-14.361862,-170.854683,515668,8412248,,,,0.05,
475,-14.361857,-170.846818,516516,8412248,,,,0.05,
476,-14.361852,-170.838953,517364,8412248,,,,0.05,
477,-14.361847,-170.831089,518212,8412248,,,,0.05,
478,-14.361841,-170.823224,519060,8412248,,,,0.05,
479,-14.361835,-170.815359,519908,8412248,,,,0.05,
480,-14.361829,-170.807494,520756,8412248,,,,0.05,
481,-14.361822,-170.799629,521604,8412248,,,,0.05,
482,-14.361815,-170.791764,522452,8412248,,,,0.05,
483,-14.361808,-170.783899,523300,8412248,,,,0.05,
484,-14.361777,-170.752439,526692,8412248,,,,0.05,
485,-14.36176,-170.736709,528388,8412248,,,,0.05,
486,-14.361752,-170.728845,529236,8412248,,,,0.05,
487,-14.361742,-170.72098,530084,8412248,,,,0.05,
488,-14.361733,-170.713115,530932,8412248,,,,0.05,
489,-14.361723,-170.70525,531780,8412248,,,,0.05,
490,-14.361714,-170.697385,532628,8412248,,,,0.05,
491,-14.361703,-170.68952,533476,8412248,,,,0.05,
492,-14.361693,-170.681655,534324,8412248,,,,0.05,
493,-14.361682,-170.67379,535172,8412248,,,,0.05,
494,-14.361671,-170.665926,536020,8412248,,,,0.05,
495,-14.36166,-170.658061,536868,8412248,,,,0.05,
496,-14.361649,-170.650196,537716,8412248,,,,0.05,
497,-14.361637,-170.642331,538564,8412248,,,,0.05,
498,-14.361625,-170.634466,539412,8412248,,,,0.05,
499,-14.361613,-170.626601,540260,8412248,,,,0.05,
500,-14.3616,-170.618737,541108,8412248,,,,0.05,
501,-14.361587,-170.610872,541956,8412248,,,,0.05,
502,-14.361574,-170.603007,542804,8412248,,,,0.05,
503,-14.361561,-170.595142,543652,8412248,,,,0.05,
504,-14.361547,-170.587278,544500,8412248,,,,0.05,
505,-14.361533,-170.579413,545348,8412248,,,,0.05,
506,-14.361519,-170.571548,546196,8412248,,,,0.05,
507,-14.361505,-170.563683,547044,8412248,,,,0.05,
508,-14.36149,-170.555819,547892,8412248,,,,0.05,
509,-14.361476,-170.547954,548740,8412248,,,,0.05,
510,-14.369349,-170.854679,515668,8411420,,,,0.05,
511,-14.369344,-170.846813,516516,8411420,,,,0.05,
512,-14.369339,-170.838948,517364,8411420,,,,0.05,
513,-14.369333,-170.831083,518212,8411420,,,,0.05,
514,-14.369327,-170.823218,519060,8411420,,,,0.05,
515,-14.369321,-170.815353,519908,8411420,,,,0.05,
516,-14.369315,-170.807487,520756,8411420,,,,0.05,
517,-14.369309,-170.799622,521604,8411420,,,,0.05,
518,-14.369302,-170.791757,522452,8411420,,,,0.05,
519,-14.369295,-170.783892,523300,8411420,,,,0.05,
520,-14.369287,-170.776027,524148,8411420,,,,0.05,
521,-14.36928,-170.768161,524996,8411420,,,,0.05,
522,-14.369264,-170.752431,526692,8411420,,,,0.05,
523,-14.369256,-170.744566,527540,8411420,,,,0.05,
524,-14.369247,-170.736701,528388,8411420,,,,0.05,
525,-14.369238,-170.728836,529236,8411420,,,,0.05,
526,-14.369229,-170.72097,530084,8411420,,,,0.05,
527,-14.36922,-170.713105,530932,8411420,,,,0.05,
528,-14.36921,-170.70524,531780,8411420,,,,0.05,
529,-14.3692,-170.697375,532628,8411420,,,,0.05,
530,-14.36919,-170.68951,533476,8411420,,,,0.05,
531,-14.369179,-170.681645,534324,8411420,,,,0.05,
532,-14.369169,-170.67378,535172,8411420,,,,0.05,
533,-14.369158,-170.665914,536020,8411420,,,,0.05,
534,-14.369146,-170.658049,536868,8411420,,,,0.05,
535,-14.369135,-170.650184,537716,8411420,,,,0.05,
536,-14.369123,-170.642319,538564,8411420,,,,0.05,
537,-14.369111,-170.634454,539412,8411420,,,,0.05,
538,-14.369099,-170.626589,540260,8411420,,,,0.05,
539,-14.369086,-170.618724,541108,8411420,,,,0.05,
540,-14.369074,-170.610859,541956,8411420,,,,0.05,
541,-14.369061,-170.602994,542804,8411420,,,,0.05,
542,-14.369047,-170.595129,543652,8411420,,,,0.05,
543,-14.369034,-170.587264,544500,8411420,,,,0.05,
544,-14.36902,-170.579399,545348,8411420,,,,0.05,
545,-14.369006,-170.571534,546196,8411420,,,,0.05,
546,-14.368991,-170.563669,547044,8411420,,,,0.05,
547,-14.368977,-170.555804,547892,8411420,,,,0.05,
548,-14.368962,-170.547939,548740,8411420,,,,0.05,
549,-14.376835,-170.854674,515668,8410592,,,,0.05,
550,-14.37683,-170.846808,516516,8410592,,,,0.05,
551,-14.376825,-170.838943,517364,8410592,,,,0.05,
552,-14.37682,-170.831077,518212,8410592,,,,0.05,
553,-14.376814,-170.823212,519060,8410592,,,,0.05,
554,-14.376808,-170.815346,519908,8410592,,,,0.05,
555,-14.376802,-170.807481,520756,8410592,,,,0.05,
556,-14.376795,-170.799615,521604,8410592,,,,0.05,
557,-14.376788,-170.79175,522452,8410592,,,,0.05,
558,-14.376781,-170.783885,523300,8410592,,,,0.05,
559,-14.376774,-170.776019,524148,8410592,,,,0.05,
560,-14.376766,-170.768154,524996,8410592,,,,0.05,
561,-14.376758,-170.760288,525844,8410592,,,,0.05,
562,-14.37675,-170.752423,526692,8410592,,,,0.05,
563,-14.376742,-170.744557,527540,8410592,,,,0.05,
564,-14.376733,-170.736692,528388,8410592,,,,0.05,
565,-14.376725,-170.728826,529236,8410592,,,,0.05,
566,-14.376715,-170.720961,530084,8410592,,,,0.05,
567,-14.376706,-170.713096,530932,8410592,,,,0.05,
568,-14.376696,-170.70523,531780,8410592,,,,0.05,
569,-14.376686,-170.697365,532628,8410592,,,,0.05,
570,-14.376676,-170.689499,533476,8410592,,,,0.05,
571,-14.376666,-170.681634,534324,8410592,,,,0.05,
572,-14.376655,-170.673769,535172,8410592,,,,0.05,
573,-14.376644,-170.665903,536020,8410592,,,,0.05,
574,-14.376633,-170.658038,536868,8410592,,,,0.05,
575,-14.376621,-170.650173,537716,8410592,,,,0.05,
576,-14.37661,-170.642307,538564,8410592,,,,0.05,
577,-14.376598,-170.634442,539412,8410592,,,,0.05,
578,-14.376585,-170.626577,540260,8410592,,,,0.05,
579,-14.376573,-170.618711,541108,8410592,,,,0.05,
580,-14.37656,-170.610846,541956,8410592,,,,0.05,
581,-14.376547,-170.602981,542804,8410592,,,,0.05,
582,-14.376534,-170.595115,543652,8410592,,,,0.05,
583,-14.37652,-170.58725,544500,8410592,,,,0.05,
584,-14.376506,-170.579385,545348,8410592,,,,0.05,
585,-14.376492,-170.571519,546196,8410592,,,,0.05,
586,-14.376478,-170.563654,547044,8410592,,,,0.05,
587,-14.376463,-170.555789,547892,8410592,,,,0.05,
588,-14.376448,-170.547924,548740,8410592,,,,0.05,
