Date,Rain_[in]
2/18/2017,0.69
2/19/2017,0
2/20/2017,2.13
2/21/2017,0.21
2/22/2017,0.53
2/23/2017,1.22
2/24/2017,0.08
2/25/2017,1.27
2/26/2017,0
2/27/2017,0.02
2/28/2017,0.05
3/1/2017,0.01
3/2/2017,0.02
3/3/2017,0
3/4/2017,0.12
3/5/2017,0
3/6/2017,0.14
3/7/2017,0.02
3/8/2017,0.11
3/9/2017,0.45
3/10/2017,0.29
3/11/2017,0.02
3/12/2017,0
3/13/2017,0.66
3/14/2017,0
3/15/2017,0
3/16/2017,0.12
3/17/2017,2
3/18/2017,0.04
3/19/2017,0
3/20/2017,1.28
3/21/2017,0.02
3/22/2017,0.28
3/23/2017,0.02
3/24/2017,0.12
3/25/2017,0
3/26/2017,0
3/27/2017,0.36
3/28/2017,0.09
3/29/2017,0.6
3/30/2017,0.44
3/31/2017,0.4
