Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
04/05/16,02:00:00,14.6964,79.326,,,,
04/05/16,02:15:00,14.6867,79.326,,,,
04/05/16,02:30:00,14.6793,79.326,,,,
04/05/16,02:45:00,14.6769,79.326,,,,
04/05/16,03:00:00,14.6665,79.151,,,,
04/05/16,03:15:00,14.6640,79.151,,,,
04/05/16,03:30:00,14.6623,79.326,,,,
04/05/16,03:45:00,14.6543,79.151,,,,
04/05/16,04:00:00,14.6543,79.151,,,,
04/05/16,04:15:00,14.6519,79.151,,,,
04/05/16,04:30:00,14.6524,79.326,,,,
04/05/16,04:45:00,14.6524,79.326,,,,
04/05/16,05:00:00,14.6524,79.326,,,,
04/05/16,05:15:00,14.6549,79.326,,,,
04/05/16,05:30:00,14.6475,79.326,,,,
04/05/16,05:45:00,14.6549,79.326,,,,
04/05/16,06:00:00,14.6524,79.326,,,,
04/05/16,06:15:00,14.6524,79.326,,,,
04/05/16,06:30:00,14.6574,79.326,,,,
04/05/16,06:45:00,14.6598,79.326,,,,
04/05/16,07:00:00,14.6671,79.326,,,,
04/05/16,07:15:00,14.6671,79.326,,,,
04/05/16,07:30:00,14.6652,79.502,,,,
04/05/16,07:45:00,14.6677,79.502,,,,
04/05/16,08:00:00,14.6682,79.678,,,,
04/05/16,08:15:00,14.6664,79.853,,,,
04/05/16,08:30:00,14.6664,79.853,,,,
04/05/16,08:45:00,14.6645,80.029,,,,
04/05/16,09:00:00,14.6645,80.029,,,,
04/05/16,09:15:00,14.6645,80.029,,,,
04/05/16,09:30:00,14.6651,80.206,,,,
04/05/16,09:45:00,14.6643,80.735,,,,
04/05/16,10:00:00,14.6655,81.090,,,,
04/05/16,10:15:00,14.6665,81.442,,,,
04/05/16,10:30:00,14.6677,81.797,,,,
04/05/16,10:45:00,14.6664,82.152,,,,
04/05/16,11:00:00,14.6713,82.152,,,,
04/05/16,11:15:00,14.6700,82.508,,,,
04/05/16,11:30:00,14.6638,82.864,,,,
04/05/16,11:45:00,14.6601,83.221,,,,
04/05/16,12:00:00,14.6569,83.757,,,,
04/05/16,12:15:00,14.6556,84.115,,,,
