Date,Time,Abs Pres (psi) c:1 2,Temp (°F) c:2,Coupler Detached,Coupler Attached,Host Connected,End Of File
04/02/16,11:30:00,14.7400,80.029,,,,
04/02/16,11:45:00,14.7321,80.206,,,,
04/02/16,12:00:00,14.7219,80.382,,,,
04/02/16,12:15:00,14.7155,80.382,,,,
04/02/16,12:30:00,14.7113,80.382,,,,
04/02/16,12:45:00,14.7054,80.559,,,,
04/02/16,13:00:00,14.7012,80.559,,,,
04/02/16,13:15:00,14.6968,80.559,,,,
04/02/16,13:30:00,14.6958,80.911,,,,
04/02/16,13:45:00,14.6916,80.911,,,,
04/02/16,14:00:00,14.6852,80.911,,,,
04/02/16,14:15:00,14.6809,80.911,,,,
04/02/16,14:30:00,14.6767,80.911,,,,
04/02/16,14:45:00,14.6701,80.911,,,,
04/02/16,15:00:00,14.6665,81.090,,,,
04/02/16,15:15:00,14.6622,81.090,,,,
04/02/16,15:30:00,14.6595,80.911,,,,
04/02/16,15:45:00,14.6532,80.911,,,,
04/02/16,16:00:00,14.6526,80.735,,,,
04/02/16,16:15:00,14.6546,80.735,,,,
04/02/16,16:30:00,14.6498,80.559,,,,
04/02/16,16:45:00,14.6498,80.559,,,,
04/02/16,17:00:00,14.6520,80.559,,,,
04/02/16,17:15:00,14.6536,80.382,,,,
04/02/16,17:30:00,14.6492,80.382,,,,
04/02/16,17:45:00,14.6488,80.206,,,,
04/02/16,18:00:00,14.6508,80.206,,,,
04/02/16,18:15:00,14.6530,80.206,,,,
04/02/16,18:30:00,14.6524,80.029,,,,
04/02/16,18:45:00,14.6546,80.029,,,,
04/02/16,19:00:00,14.6562,79.853,,,,
04/02/16,19:15:00,14.6584,79.853,,,,
04/02/16,19:30:00,14.6562,79.853,,,,
04/02/16,19:45:00,14.6556,79.678,,,,
04/02/16,20:00:00,14.6578,79.678,,,,
04/02/16,20:15:00,14.6578,79.678,,,,
04/02/16,20:30:00,14.6600,79.678,,,,
04/02/16,20:45:00,14.6620,79.678,,,,
04/02/16,21:00:00,14.6636,79.502,,,,
04/02/16,21:15:00,14.6616,79.502,,,,
04/02/16,21:30:00,14.6636,79.502,,,,
04/02/16,21:45:00,14.6594,79.502,,,,
04/02/16,22:00:00,14.6594,79.502,,,,
04/02/16,22:15:00,14.6550,79.502,,,,
04/02/16,22:30:00,14.6572,79.502,,,,
04/02/16,22:45:00,14.6550,79.502,,,,
04/02/16,23:00:00,14.6550,79.502,,,,
04/02/16,23:15:00,14.6550,79.502,,,,
04/02/16,23:30:00,14.6503,79.326,,,,
04/02/16,23:45:00,14.6481,79.326,,,,
04/03/16,00:00:00,14.6461,79.326,,,,
04/03/16,00:15:00,14.6439,79.326,,,,
04/03/16,00:30:00,14.6417,79.326,,,,
04/03/16,00:45:00,14.6353,79.326,,,,
04/03/16,01:00:00,14.6327,79.151,,,,
04/03/16,01:15:00,14.6327,79.151,,,,
04/03/16,01:30:00,14.6262,79.151,,,,
04/03/16,01:45:00,14.6220,79.151,,,,
04/03/16,02:00:00,14.6178,79.151,,,,
04/03/16,02:15:00,14.6150,78.975,,,,
04/03/16,02:30:00,14.6150,78.975,,,,
04/03/16,02:45:00,14.6128,78.975,,,,
04/03/16,03:00:00,14.6086,78.975,,,,
04/03/16,03:15:00,14.6108,78.975,,,,
04/03/16,03:30:00,14.6065,78.975,,,,
04/03/16,03:45:00,14.6059,78.800,,,,
04/03/16,04:00:00,14.6043,78.975,,,,
04/03/16,04:15:00,14.6023,78.975,,,,
04/03/16,04:30:00,14.6043,78.975,,,,
04/03/16,04:45:00,14.6043,78.975,,,,
04/03/16,05:00:00,14.6001,78.975,,,,
04/03/16,05:15:00,14.5979,78.975,,,,
04/03/16,05:30:00,14.5979,78.975,,,,
04/03/16,05:45:00,14.6023,78.975,,,,
04/03/16,06:00:00,14.6043,78.975,,,,
04/03/16,06:15:00,14.6086,78.975,,,,
04/03/16,06:30:00,14.6059,78.800,,,,
04/03/16,06:45:00,14.6081,78.800,,,,
04/03/16,07:00:00,14.6086,78.975,,,,
04/03/16,07:15:00,14.6086,78.975,,,,
04/03/16,07:30:00,14.6112,79.151,,,,
04/03/16,07:45:00,14.6118,79.326,,,,
04/03/16,08:00:00,14.6124,79.502,,,,
04/03/16,08:15:00,14.6108,79.678,,,,
04/03/16,08:30:00,14.6140,80.029,,,,
04/03/16,08:45:00,14.6163,82.152,,,,
04/03/16,09:00:00,14.6153,82.508,,,,
04/03/16,09:15:00,14.6131,81.797,,,,
04/03/16,09:30:00,14.6120,81.442,,,,
04/03/16,09:45:00,14.6110,81.090,,,,
04/03/16,10:00:00,14.6082,80.911,,,,
04/03/16,10:15:00,14.6046,81.090,,,,
04/03/16,10:30:00,14.6014,81.442,,,,
04/03/16,10:45:00,14.6004,81.797,,,,
04/03/16,11:00:00,14.5998,82.330,,,,
04/03/16,11:15:00,14.5946,82.686,,,,
04/03/16,11:30:00,14.5902,82.686,,,,
04/03/16,11:45:00,14.5872,83.043,,,,
04/03/16,12:00:00,14.5796,83.399,,,,
04/03/16,12:15:00,14.5798,84.115,,,,
04/03/16,12:30:00,14.5804,84.295,,,,
04/03/16,12:45:00,14.5724,84.474,,,,
04/03/16,13:00:00,14.5686,84.654,,,,
04/03/16,13:15:00,14.5666,84.654,,,,
04/03/16,13:30:00,14.5596,84.474,,,,
04/03/16,13:45:00,14.5563,84.115,,,,
04/03/16,14:00:00,14.5547,84.295,,,,
04/03/16,14:15:00,14.5499,84.115,,,,
04/03/16,14:30:00,14.5466,83.757,,,,
04/03/16,14:45:00,14.5498,83.399,,,,
04/03/16,15:00:00,14.5711,82.686,,,,
