,Date,Aasu_rain[in],Amouli_rain[in],Fagaalu_rain[in],Fagaitua_rain[in],Fagalii_rain[in],Malaeimi_rain[in],Malaeloa_rain[in],Nua_rain[in],Onenoa_rain[in],Satala_rain[in],PPG_rain[in]
106,2015-04-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
107,2015-04-18,0.2,0.29,0.11,0.32,0.84,0.32,0.47,0.67,0.71,0.46,2.47
108,2015-04-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2015-04-20,2.79,0.38,2.57,0.86,1.6,3.07,3.24,3.36,0.2,1.5,0.01
110,2015-04-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2015-04-22,0.57,0.41,0.71,0.57,0.53,0.95,0.84,0.58,5.32,5.32,5.32
112,2015-04-23,1.55,4.74,4.87,2.61,0.65,4.83,3.1,1.49,4.62,2.28,0.26
113,2015-04-24,0.06,0.0,0.33,0.0,0.02,0.24,0.1,0.09,0.0,0.42,0.66
114,2015-04-25,0.75,0.55,0.82,0.67,0.0,0.5,0.74,0.84,0.38,0.76,0.28
115,2015-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2015-04-27,0.35,0.42,0.35,0.3,0.94,0.36,0.35,0.35,0.33,0.48,0.0
117,2015-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2015-04-29,0.09,0.05,0.12,0.05,1.16,0.05,0.01,1.06,0.1,0.51,0.0
119,2015-04-30,0.28,0.05,0.16,0.08,0.27,0.02,0.11,0.37,0.16,0.42,0.08
120,2015-05-01,0.07,0.3,0.14,0.32,0.17,0.05,0.8,0.15,0.16,0.25,0.31
121,2015-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
122,2015-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98
123,2015-05-04,3.36,3.51,3.44,2.67,3.25,2.35,2.05,2.22,4.24,3.21,0.42
124,2015-05-05,0.25,0.12,0.13,0.25,0.358,0.03,0.03,0.05,0.08,0.8,0.27
125,2015-05-06,0.72,0.08,0.26,0.07,0.8,0.64,0.3,0.7,0.08,2.1,3.49
126,2015-05-07,0.73,0.5,1.0,0.7,0.66,1.93,2.1,0.86,0.4,1.02,1.58
127,2015-05-08,2.55,1.62,1.78,1.95,1.22,1.37,2.65,1.4,0.95,1.43,0.03
128,2015-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2015-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71
130,2015-05-11,0.34,1.15,0.82,0.65,0.08,0.92,0.38,0.19,0.43,0.43,0.43
131,2015-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
132,2015-05-13,1.04,0.14,1.09,0.42,1.03,1.05,0.76,0.49,0.53,0.98,0.08
133,2015-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
134,2015-05-15,0.41,0.31,0.44,0.08,0.52,1.27,1.82,0.77,0.23,0.52,0.31
135,2015-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
136,2015-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
137,2015-05-18,4.8,2.33,3.77,3.36,1.32,4.25,3.92,2.58,2.44,2.4,0.0
138,2015-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09
139,2015-05-20,0.9,0.1,0.46,0.3,0.1,0.5,0.12,0.1,0.2,0.33,0.01
140,2015-05-21,0.02,0.08,0.31,0.08,0.02,0.06,0.35,0.19,0.05,0.16,0.72
141,2015-05-22,1.6,2.37,2.6,2.42,1.2,1.8,1.35,1.18,2.37,2.33,1.5
142,2015-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54
143,2015-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73
144,2015-05-25,3.72,1.28,2.45,1.99,1.32,3.62,3.75,2.46,1.38,2.94,0.31
145,2015-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,2015-05-27,0.45,0.22,0.6,0.2,0.08,0.22,0.26,0.08,0.46,0.41,0.26
147,2015-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
148,2015-05-29,2.3,1.05,0.34,0.6,1.12,0.44,0.7,1.27,1.5,0.84,0.16
149,2015-05-30,0.46,0.1,0.12,0.42,0.36,0.93,0.51,0.34,0.57,0.17,0.33
150,2015-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,2015-06-01,0.18,0.55,0.4,0.91,0.18,0.25,0.28,0.12,0.7,0.86,0.0
152,2015-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,2015-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,2015-06-04,0.9,0.01,0.0,0.02,0.58,0.12,0.2,0.74,0.02,0.17,0.0
155,2015-06-05,0.1,0.02,0.05,0.03,0.25,0.08,0.23,0.24,0.01,0.03,0.11
156,2015-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,2015-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
158,2015-06-08,0.5,0.05,0.22,0.05,0.07,0.16,0.05,0.1,0.05,0.11,0.0
159,2015-06-09,0.01,0.0,0.02,0.02,0.29600000000000004,0.02,0.02,0.3,0.0,0.04,0.0
160,2015-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,2015-06-11,0.21,0.14,0.1,0.18,0.16,0.12,0.3,0.4,0.18,0.07,0.11
162,2015-06-12,2.16,0.78,1.38,0.67,1.38,1.94,1.2,1.24,0.46,0.37,1.35
163,2015-06-13,5.16,3.04,2.75,3.1,3.24,2.7,3.18,6.0,2.9,4.45,1.57
164,2015-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
165,2015-06-15,4.61,0.7,2.05,0.88,2.14,1.19,0.87,2.11,0.67,1.4,0.52
166,2015-06-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,2015-06-17,0.7,0.9,1.0,0.9,0.5,0.7,0.8,0.8,1.0,1.12,1.34
168,2015-06-18,2.1,1.0,1.35,2.03,2.05,3.04,1.6,2.0,1.4,3.0,1.34
169,2015-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,2015-06-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,2015-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,2015-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,2015-06-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
174,2015-06-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41
175,2015-06-25,2.42,1.18,1.79,1.27,0.72,2.72,1.91,0.95,1.16,2.67,0.01
176,2015-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,2015-06-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
178,2015-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
179,2015-06-29,3.36,0.61,0.7,0.74,1.72,0.86,1.25,1.42,0.51,1.16,1.02
180,2015-06-30,2.28,0.72,0.98,0.94,1.5,0.73,0.8,1.13,0.71,1.59,0.01
181,2015-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49
182,2015-07-02,3.38,1.34,1.37,1.7,1.83,1.42,1.11,1.56,1.02,2.04,0.32
183,2015-07-03,1.22,0.12,0.33,0.28,0.51,0.26,0.3,0.5,0.09,0.54,0.03
184,2015-07-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,2015-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
186,2015-07-06,0.22,0.03,0.1,0.03,0.06,0.17,0.06,0.07,0.0,0.05,0.0
187,2015-07-07,0.07,0.02,0.03,0.02,0.01,0.02,0.03,0.02,0.01,0.06,0.15
188,2015-07-08,0.369,0.07,0.07,0.05,0.05,0.15,0.09,0.12,0.07,0.05,0.04
189,2015-07-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86
190,2015-07-10,1.65,0.16,0.79,0.17,0.64,3.11,3.13,0.84,0.16,1.39,0.65
191,2015-07-11,4.8,0.04,1.84,0.16,3.67,2.28,0.98,2.68,0.02,0.05,0.05
192,2015-07-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
193,2015-07-13,1.83,0.37,0.83,0.44,0.29,0.84,1.42,0.97,0.12,2.06,0.4
194,2015-07-14,1.5,0.34,0.54,0.34,0.87,0.58,0.6,0.67,0.46,1.0,0.0
195,2015-07-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,2015-07-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,2015-07-17,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,2015-07-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,2015-07-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,2015-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,2015-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,2015-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
203,2015-07-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
204,2015-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
205,2015-07-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
206,2015-07-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
207,2015-07-27,1.32,0.8,0.64,1.07,1.15,2.83,0.78,0.93,0.97,1.38,0.06
208,2015-07-28,0.07,0.01,0.06,0.01,0.02,0.03,0.04,0.03,0.0,0.02,0.02
209,2015-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,2015-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
211,2015-07-31,0.94,0.09,0.1,0.15,0.44,0.2,0.37,0.39,0.06,0.22,0.06
212,2015-08-01,0.41,0.02,0.18,0.03,0.12,0.08,0.15,0.16,0.01,0.1,0.61
213,2015-08-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
214,2015-08-03,3.58,0.29,0.96,0.31,1.84,2.0,3.27,2.68,0.27,1.52,0.0
215,2015-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
216,2015-08-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,2015-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,2015-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
219,2015-08-08,0.61,0.2,0.32,0.27,1.06,3.8,0.73,1.04,0.17,0.23,0.36
220,2015-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,0.87
221,2015-08-10,3.22,0.62,3.12,1.62,2.65,3.24,2.05,2.4,0.53,1.08,2.38
222,2015-08-11,2.21,1.25,0.8,0.95,0.9,1.89,1.83,1.39,1.07,2.68,1.79
223,2015-08-12,2.79,0.07,1.8,0.28,0.9,0.61,0.67,0.21,0.08,0.61,0.03
224,2015-08-13,1.79,0.08,0.2,0.08,0.0,0.52,0.38,1.0,0.2,0.0,0.09
225,2015-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,2015-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,2015-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,2015-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,2015-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
230,2015-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
231,2015-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,2015-08-21,0.25,0.07,0.19,0.07,0.17,0.08,0.24,0.19,0.03,0.13,0.0
233,2015-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,2015-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
235,2015-08-24,0.51,0.02,0.14,0.02,0.2,0.23,0.13,0.27,0.0,0.1,0.0
236,2015-08-25,0.25,0.02,0.05,0.03,0.01,0.08,0.03,0.02,0.01,0.16,0.01
237,2015-08-26,0.29,0.02,0.0,0.02,0.19,0.06,0.05,0.13,0.14,0.02,0.0
238,2015-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,2015-08-28,0.37,0.23,0.18,0.14,0.24,0.04,0.1,0.17,0.2,0.3,0.07
240,2015-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,2015-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,2015-08-31,0.0,0.0,0.0,0.0,0.1,0.02,0.0,0.05,0.0,0.0,0.0
243,2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,2015-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,2015-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,2015-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,2015-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,2015-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,2015-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,2015-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,2015-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,2015-09-10,1.13,0.05,0.1,0.08,0.41,0.09,0.11,0.21,0.02,0.2,0.11
253,2015-09-11,0.8,0.07,0.2,0.19,0.17,1.03,0.68,0.44,0.05,0.4,0.38
